"","x","y","ndvi86","ndvi11","class"
"492",634470,4331400,1,1,1
"493",634470,4331430,1,1,1
"494",634470,4331460,1,1,1
"495",634470,4331490,1,2,2
"496",634470,4331520,1,2,2
"497",634470,4331550,2,1,3
"498",634470,4331580,1,1,1
"499",634470,4331610,1,1,1
"500",634470,4331640,1,1,1
"501",634470,4331670,1,2,2
"502",634470,4331700,2,2,4
"503",634470,4331730,2,2,4
"504",634470,4331760,1,2,2
"505",634470,4331790,2,2,4
"506",634470,4331820,2,2,4
"507",634470,4331850,2,2,4
"508",634470,4331880,2,2,4
"509",634470,4331910,2,2,4
"510",634470,4331940,2,2,4
"511",634470,4331970,2,2,4
"512",634470,4332000,1,2,2
"513",634470,4332030,1,2,2
"514",634470,4332060,1,1,1
"515",634500,4331130,1,1,1
"516",634500,4331160,1,1,1
"517",634500,4331190,1,1,1
"518",634500,4331220,1,1,1
"519",634500,4331250,1,1,1
"520",634500,4331280,1,1,1
"521",634500,4331310,1,1,1
"522",634500,4331340,1,1,1
"523",634500,4331370,1,1,1
"524",634500,4331400,1,1,1
"525",634500,4331430,1,1,1
"526",634500,4331460,1,2,2
"527",634500,4331490,1,1,1
"528",634500,4331520,1,2,2
"529",634500,4331550,1,2,2
"530",634500,4331580,1,1,1
"531",634500,4331610,1,1,1
"532",634500,4331640,1,2,2
"533",634500,4331670,1,2,2
"534",634500,4331700,2,2,4
"535",634500,4331730,2,2,4
"536",634500,4331760,2,2,4
"537",634500,4331790,2,2,4
"538",634500,4331820,2,2,4
"539",634500,4331850,2,2,4
"540",634500,4331880,2,2,4
"541",634500,4331910,2,2,4
"542",634500,4331940,2,2,4
"543",634500,4331970,1,2,2
"544",634500,4332000,1,2,2
"545",634500,4332030,1,1,1
"546",634500,4332060,1,1,1
"547",634530,4330350,2,2,4
"548",634530,4330380,2,2,4
"549",634530,4330410,2,2,4
"550",634530,4330440,2,2,4
"551",634530,4330470,2,2,4
"552",634530,4330500,1,2,2
"553",634530,4330530,1,1,1
"554",634530,4331130,1,1,1
"555",634530,4331160,1,1,1
"556",634530,4331190,1,1,1
"557",634530,4331220,1,1,1
"558",634530,4331250,1,1,1
"559",634530,4331280,1,1,1
"560",634530,4331310,1,1,1
"561",634530,4331340,2,1,3
"562",634530,4331370,1,1,1
"563",634530,4331400,1,1,1
"564",634530,4331430,1,1,1
"565",634530,4331460,1,2,2
"566",634530,4331490,2,2,4
"567",634530,4331520,1,2,2
"568",634530,4331550,1,1,1
"569",634530,4331580,1,1,1
"570",634530,4331610,1,1,1
"571",634530,4331640,1,2,2
"572",634530,4331670,2,2,4
"573",634530,4331700,2,2,4
"574",634530,4331730,2,2,4
"575",634530,4331760,2,2,4
"576",634530,4331790,2,2,4
"577",634530,4331820,2,2,4
"578",634530,4331850,2,2,4
"579",634530,4331880,2,2,4
"580",634530,4331910,2,2,4
"581",634530,4331940,2,2,4
"582",634530,4331970,1,2,2
"583",634530,4332000,1,2,2
"584",634530,4332030,1,1,1
"585",634530,4332060,1,1,1
"586",634560,4330320,2,2,4
"587",634560,4330350,2,2,4
"588",634560,4330380,2,2,4
"589",634560,4330410,2,2,4
"590",634560,4330440,2,2,4
"591",634560,4330470,2,2,4
"592",634560,4330500,2,2,4
"593",634560,4330530,1,1,1
"594",634560,4330560,1,1,1
"595",634560,4330590,1,1,1
"596",634560,4330620,2,2,4
"597",634560,4330860,2,1,3
"598",634560,4330890,1,1,1
"599",634560,4331130,1,1,1
"600",634560,4331160,1,1,1
"601",634560,4331190,1,1,1
"602",634560,4331220,1,1,1
"603",634560,4331250,1,1,1
