Rowid_,WEIMER_DIS7,X,Y,WEIMER_DIS7_1
,485,635250.000000000000000,4332060.000000000000000,484.664825439453120
,497,635280.000000000000000,4332060.000000000000000,496.588348388671870
,510,635310.000000000000000,4332060.000000000000000,510.000000000000000
,524,635340.000000000000000,4332060.000000000000000,523.927490234375000
,537,635370.000000000000000,4332060.000000000000000,536.656311035156250
,551,635400.000000000000000,4332060.000000000000000,550.726806640625000
,566,635430.000000000000000,4332060.000000000000000,566.038879394531250
,582,635460.000000000000000,4332060.000000000000000,582.494628906250000
,600,635490.000000000000000,4332060.000000000000000,600.000000000000000
,618,635520.000000000000000,4332060.000000000000000,617.737792968750000
,633,635550.000000000000000,4332060.000000000000000,632.850708007812500
,649,635580.000000000000000,4332060.000000000000000,648.999206542968750
,666,635610.000000000000000,4332060.000000000000000,666.108093261718750
,684,635640.000000000000000,4332060.000000000000000,684.105224609375000
,698,635670.000000000000000,4332060.000000000000000,697.782226562500000
,711,635700.000000000000000,4332060.000000000000000,711.196166992187500
,726,635730.000000000000000,4332060.000000000000000,725.603210449218750
,741,635760.000000000000000,4332060.000000000000000,740.945312500000000
,757,635790.000000000000000,4332060.000000000000000,757.165771484375000
,774,635820.000000000000000,4332060.000000000000000,774.209289550781250
,792,635850.000000000000000,4332060.000000000000000,792.022705078125000
,811,635880.000000000000000,4332060.000000000000000,810.555358886718750
,830,635910.000000000000000,4332060.000000000000000,829.758972167968750
,850,635940.000000000000000,4332060.000000000000000,849.588134765625000
,870,635970.000000000000000,4332060.000000000000000,870.000000000000000
,891,636000.000000000000000,4332060.000000000000000,890.954528808593750
,912,636030.000000000000000,4332060.000000000000000,912.414367675781250
,933,636060.000000000000000,4332060.000000000000000,933.380981445312500
,955,636090.000000000000000,4332060.000000000000000,954.829833984375000
,976,636120.000000000000000,4332060.000000000000000,975.807373046875000
,997,636150.000000000000000,4332060.000000000000000,997.246215820312500
,1018,636180.000000000000000,4332060.000000000000000,1018.233764648437500
,1040,636210.000000000000000,4332060.000000000000000,1039.663452148437500
,1061,636240.000000000000000,4332060.000000000000000,1060.660156250000000
,1082,636270.000000000000000,4332060.000000000000000,1082.081298828125000
,1104,636300.000000000000000,4332060.000000000000000,1103.902221679687500
,1126,636330.000000000000000,4332060.000000000000000,1126.099487304687500
,1149,636360.000000000000000,4332060.000000000000000,1148.651367187500000
,300,633930.000000000000000,4332030.000000000000000,300.000000000000000
,270,633960.000000000000000,4332030.000000000000000,270.000000000000000
,240,633990.000000000000000,4332030.000000000000000,240.000000000000000
,210,634020.000000000000000,4332030.000000000000000,210.000000000000000
,180,634050.000000000000000,4332030.000000000000000,180.000000000000000
,150,634080.000000000000000,4332030.000000000000000,150.000000000000000
,120,634110.000000000000000,4332030.000000000000000,120.000000000000000
,90,634140.000000000000000,4332030.000000000000000,90.000000000000000
,60,634170.000000000000000,4332030.000000000000000,60.000000000000000
,30,634200.000000000000000,4332030.000000000000000,30.000000000000000
,0,634230.000000000000000,4332030.000000000000000,0.000000000000000
,0,634260.000000000000000,4332030.000000000000000,0.000000000000000
,30,634290.000000000000000,4332030.000000000000000,30.000000000000000
,60,634320.000000000000000,4332030.000000000000000,60.000000000000000
,60,634350.000000000000000,4332030.000000000000000,60.000000000000000
,67,634380.000000000000000,4332030.000000000000000,67.082038879394531
,85,634410.000000000000000,4332030.000000000000000,84.852813720703125
,108,634440.000000000000000,4332030.000000000000000,108.166542053222660
,127,634470.000000000000000,4332030.000000000000000,127.279220581054690
,150,634500.000000000000000,4332030.000000000000000,150.000000000000000
,170,634530.000000000000000,4332030.000000000000000,169.705627441406250
,192,634560.000000000000000,4332030.000000000000000,192.093734741210940
,212,634590.000000000000000,4332030.000000000000000,212.132034301757810
,234,634620.000000000000000,4332030.000000000000000,234.307495117187500
,258,634650.000000000000000,4332030.000000000000000,258.069763183593750
,277,634680.000000000000000,4332030.000000000000000,276.586334228515630
,285,634710.000000000000000,4332030.000000000000000,284.604980468750000
,295,634740.000000000000000,4332030.000000000000000,295.465728759765620
,309,634770.000000000000000,4332030.000000000000000,308.868896484375000
,324,634800.000000000000000,4332030.000000000000000,324.499603271484370
,342,634830.000000000000000,4332030.000000000000000,342.052612304687500
,361,634860.000000000000000,4332030.000000000000000,361.247833251953120
,382,634890.000000000000000,4332030.000000000000000,381.837677001953120
,404,634920.000000000000000,4332030.000000000000000,403.608734130859370
,424,634950.000000000000000,4332030.000000000000000,424.264068603515620
