OBJECTID,iso1986_ndvi_tif,X,Y,iso1986_ndvi
402,2,634380,4331790,2
403,2,634410,4331790,2
404,2,634440,4331790,2
405,2,634470,4331790,2
406,2,634500,4331790,2
407,2,634530,4331790,2
408,2,634560,4331790,2
409,2,634590,4331790,2
410,2,634620,4331790,2
411,2,634650,4331790,2
412,1,634680,4331790,1
413,1,634710,4331790,1
414,1,634740,4331790,1
415,1,634770,4331790,1
416,1,634800,4331790,1
417,1,634830,4331790,1
418,1,634860,4331790,1
419,1,634890,4331790,1
420,1,634920,4331790,1
421,1,634950,4331790,1
422,1,634980,4331790,1
423,1,635010,4331790,1
424,1,635040,4331790,1
425,1,635070,4331790,1
426,1,635100,4331790,1
427,1,635130,4331790,1
428,1,635160,4331790,1
429,1,635190,4331790,1
430,1,635220,4331790,1
431,1,635250,4331790,1
432,1,635280,4331790,1
433,1,635310,4331790,1
434,1,635340,4331790,1
435,1,635370,4331790,1
436,1,635400,4331790,1
437,1,635430,4331790,1
438,1,635460,4331790,1
439,1,635490,4331790,1
440,1,635520,4331790,1
441,1,635550,4331790,1
442,1,635580,4331790,1
443,1,635610,4331790,1
444,1,635640,4331790,1
445,1,635670,4331790,1
446,1,635700,4331790,1
447,1,635730,4331790,1
448,1,635760,4331790,1
449,1,635790,4331790,1
450,1,635820,4331790,1
451,1,635850,4331790,1
452,1,635880,4331790,1
453,1,635910,4331790,1
454,1,635940,4331790,1
455,1,635970,4331790,1
456,1,636000,4331790,1
457,1,633960,4331760,1
458,1,633990,4331760,1
459,1,634020,4331760,1
460,1,634050,4331760,1
461,2,634080,4331760,2
462,1,634110,4331760,1
463,1,634140,4331760,1
464,1,634170,4331760,1
465,1,634200,4331760,1
466,1,634230,4331760,1
467,1,634260,4331760,1
468,1,634290,4331760,1
469,1,634320,4331760,1
470,1,634350,4331760,1
471,2,634380,4331760,2
472,2,634410,4331760,2
473,1,634440,4331760,1
474,1,634470,4331760,1
475,2,634500,4331760,2
476,2,634530,4331760,2
477,2,634560,4331760,2
478,2,634590,4331760,2
479,2,634620,4331760,2
480,2,634650,4331760,2
481,1,634680,4331760,1
482,1,634710,4331760,1
483,1,634740,4331760,1
484,1,634770,4331760,1
485,1,634800,4331760,1
486,1,634830,4331760,1
487,1,634860,4331760,1
488,1,634890,4331760,1
489,1,634920,4331760,1
490,1,634950,4331760,1
491,1,634980,4331760,1
492,1,635010,4331760,1
493,1,635040,4331760,1
494,1,635070,4331760,1
495,1,635100,4331760,1
