OBJECTID,Rowid_,GREEN_1986,X,Y,GREEN_1986_1987,RASTERVALU
2074,,0,636090.000000000000000,4331070.000000000000000,-0.023103110492229,1
2075,,0,636120.000000000000000,4331070.000000000000000,-0.025588771328330,1
2076,,0,636150.000000000000000,4331070.000000000000000,-0.042888537049294,1
2077,,0,636180.000000000000000,4331070.000000000000000,-0.045899458229542,1
2078,,0,636210.000000000000000,4331070.000000000000000,-0.049202203750610,1
2079,,0,636240.000000000000000,4331070.000000000000000,-0.050050694495440,1
2080,,0,634590.000000000000000,4331040.000000000000000,-0.012088598683476,1
2081,,0,634620.000000000000000,4331040.000000000000000,-0.003579184412956,1
2082,,0,634650.000000000000000,4331040.000000000000000,0.002696940675378,2
2083,,0,634680.000000000000000,4331040.000000000000000,-0.006355581805110,1
2084,,0,634710.000000000000000,4331040.000000000000000,-0.007961338385940,1
2085,,0,634740.000000000000000,4331040.000000000000000,0.006345661357045,2
2086,,0,634770.000000000000000,4331040.000000000000000,0.007514098659158,2
2087,,0,634800.000000000000000,4331040.000000000000000,0.019578684121370,2
2088,,0,634830.000000000000000,4331040.000000000000000,0.022106027230620,2
2089,,0,634860.000000000000000,4331040.000000000000000,0.000717867165804,1
2090,,0,634890.000000000000000,4331040.000000000000000,-0.006482986733317,1
2091,,0,634920.000000000000000,4331040.000000000000000,-0.012886223383248,1
2092,,0,634950.000000000000000,4331040.000000000000000,-0.013341632671654,1
2093,,0,634980.000000000000000,4331040.000000000000000,-0.007812617346644,1
2094,,0,635010.000000000000000,4331040.000000000000000,-0.006364200264215,1
2095,,0,635040.000000000000000,4331040.000000000000000,-0.007907724007964,1
2096,,0,635070.000000000000000,4331040.000000000000000,-0.006333868950605,1
2097,,0,635100.000000000000000,4331040.000000000000000,-0.007466882467270,1
2098,,0,635130.000000000000000,4331040.000000000000000,-0.007685188204050,1
2099,,0,635160.000000000000000,4331040.000000000000000,-0.003229981288314,1
2100,,0,635190.000000000000000,4331040.000000000000000,-0.007706809788942,1
2101,,0,635220.000000000000000,4331040.000000000000000,-0.013259246945381,1
2102,,0,635250.000000000000000,4331040.000000000000000,-0.012199647724628,1
2103,,0,635280.000000000000000,4331040.000000000000000,-0.013588813133538,1
2104,,0,635310.000000000000000,4331040.000000000000000,-0.016194459050894,1
2105,,0,635340.000000000000000,4331040.000000000000000,-0.008101275190711,1
2106,,0,635370.000000000000000,4331040.000000000000000,-0.005825176835060,1
2107,,0,635400.000000000000000,4331040.000000000000000,-0.002353779971600,1
2108,,0,635430.000000000000000,4331040.000000000000000,-0.003281947225332,1
2109,,0,635460.000000000000000,4331040.000000000000000,-0.004692487418652,1
2110,,0,635490.000000000000000,4331040.000000000000000,-0.004638971760869,1
2111,,0,635520.000000000000000,4331040.000000000000000,-0.006296364590526,1
2112,,0,635550.000000000000000,4331040.000000000000000,-0.009101299569011,1
2113,,0,635580.000000000000000,4331040.000000000000000,0.001137563958764,1
2114,,0,635610.000000000000000,4331040.000000000000000,0.013383207842708,2
2115,,0,635640.000000000000000,4331040.000000000000000,-0.005789376795292,1
2116,,0,635670.000000000000000,4331040.000000000000000,-0.009597506374121,1
2117,,0,635700.000000000000000,4331040.000000000000000,-0.009049162268639,1
2118,,0,635730.000000000000000,4331040.000000000000000,-0.013692054897547,1
2119,,0,635760.000000000000000,4331040.000000000000000,-0.016432482749224,1
2120,,0,635790.000000000000000,4331040.000000000000000,-0.014140858314931,1
2121,,0,635820.000000000000000,4331040.000000000000000,-0.012563031166792,1
2122,,0,635850.000000000000000,4331040.000000000000000,-0.008413204923272,1
2123,,0,635880.000000000000000,4331040.000000000000000,-0.017995879054070,1
2124,,0,635910.000000000000000,4331040.000000000000000,-0.013291259296238,1
2125,,0,635940.000000000000000,4331040.000000000000000,-0.015438374131918,1
2126,,0,635970.000000000000000,4331040.000000000000000,-0.018200073391199,1
2127,,0,636000.000000000000000,4331040.000000000000000,-0.016904238611460,1
2128,,0,636030.000000000000000,4331040.000000000000000,-0.017103012651205,1
2129,,0,636060.000000000000000,4331040.000000000000000,-0.017078353092074,1
2130,,0,636090.000000000000000,4331040.000000000000000,-0.019626297056675,1
2131,,0,636120.000000000000000,4331040.000000000000000,-0.021721694618464,1
2132,,0,636150.000000000000000,4331040.000000000000000,-0.021002257242799,1
2133,,0,636180.000000000000000,4331040.000000000000000,-0.028038647025824,1
2134,,0,636210.000000000000000,4331040.000000000000000,-0.031187452375889,1
2135,,0,636240.000000000000000,4331040.000000000000000,-0.033761296421289,1
2136,,0,636270.000000000000000,4331040.000000000000000,-0.017940245568752,1
2137,,0,634590.000000000000000,4331010.000000000000000,-0.016626363620162,1
2138,,0,634620.000000000000000,4331010.000000000000000,-0.010244619101286,1
2139,,0,634650.000000000000000,4331010.000000000000000,-0.000742567703128,1
2140,,0,634680.000000000000000,4331010.000000000000000,-0.007033191621304,1
2141,,0,634710.000000000000000,4331010.000000000000000,-0.007988318800926,1
2142,,0,634740.000000000000000,4331010.000000000000000,-0.001109698787332,1
2143,,0,634770.000000000000000,4331010.000000000000000,0.007458390668035,2
2144,,0,634800.000000000000000,4331010.000000000000000,-0.000242494046688,1
2145,,0,634830.000000000000000,4331010.000000000000000,0.010777710005641,2
2146,,0,634860.000000000000000,4331010.000000000000000,0.001165842637420,1
2147,,0,634890.000000000000000,4331010.000000000000000,-0.009379057213664,1
2148,,0,634920.000000000000000,4331010.000000000000000,-0.008147640153766,1
2149,,0,634950.000000000000000,4331010.000000000000000,-0.008281972259283,1
2150,,0,634980.000000000000000,4331010.000000000000000,-0.009294858202338,1
2151,,0,635010.000000000000000,4331010.000000000000000,-0.010326402261853,1
2152,,0,635040.000000000000000,4331010.000000000000000,-0.007185233756900,1
2153,,0,635070.000000000000000,4331010.000000000000000,-0.010796504095197,1
2154,,0,635100.000000000000000,4331010.000000000000000,-0.013939881697297,1
2155,,0,635130.000000000000000,4331010.000000000000000,-0.009850133210421,1
2156,,0,635160.000000000000000,4331010.000000000000000,0.006037486717105,2
2157,,0,635190.000000000000000,4331010.000000000000000,-0.007948447018862,1
2158,,0,635220.000000000000000,4331010.000000000000000,-0.011418428272009,1
2159,,0,635250.000000000000000,4331010.000000000000000,-0.008572371676564,1
2160,,0,635280.000000000000000,4331010.000000000000000,-0.009735587984324,1
2161,,0,635310.000000000000000,4331010.000000000000000,-0.008102605119348,1
2162,,0,635340.000000000000000,4331010.000000000000000,-0.005742786452174,1
2163,,0,635370.000000000000000,4331010.000000000000000,-0.006989870220423,1
2164,,0,635400.000000000000000,4331010.000000000000000,-0.005891636013985,1
2165,,0,635430.000000000000000,4331010.000000000000000,-0.006982786580920,1
2166,,0,635460.000000000000000,4331010.000000000000000,-0.003452328965068,1
2167,,0,635490.000000000000000,4331010.000000000000000,-0.003502590581775,1
2168,,0,635520.000000000000000,4331010.000000000000000,-0.006407519802451,1
2169,,0,635550.000000000000000,4331010.000000000000000,-0.000810576602817,1
2170,,0,635580.000000000000000,4331010.000000000000000,0.007112998515368,2
2171,,0,635610.000000000000000,4331010.000000000000000,0.017315700650215,2
2172,,0,635640.000000000000000,4331010.000000000000000,0.007388718426228,2
2173,,0,635670.000000000000000,4331010.000000000000000,-0.004309073090553,1
2174,,0,635700.000000000000000,4331010.000000000000000,-0.012946924194694,1
2175,,0,635730.000000000000000,4331010.000000000000000,-0.015943318605423,1
2176,,0,635760.000000000000000,4331010.000000000000000,-0.012527022510767,1
2177,,0,635790.000000000000000,4331010.000000000000000,-0.015296576544642,1
2178,,0,635820.000000000000000,4331010.000000000000000,-0.017214339226484,1
2179,,0,635850.000000000000000,4331010.000000000000000,-0.018336039036512,1
2180,,0,635880.000000000000000,4331010.000000000000000,-0.016223261132836,1
2181,,0,635910.000000000000000,4331010.000000000000000,-0.011231806129217,1
2182,,0,635940.000000000000000,4331010.000000000000000,-0.011074012145400,1
